you	x	x
oct.	n	x
6	x	x
editorial	n	x
``	x	x
the	x	x
ill	n	x
homeless	n	x
``	x	x
refer	v	d000.s000.t000
to	x	x
research	n	d000.s000.t001
by	x	x
we	x	x
and	x	x
six	x	x
of	x	x
we	x	x
colleague	n	x
that	x	x
be	v	x
report	v	d000.s000.t002
in	x	x
the	x	x
sept.	n	x
8	x	x
issue	n	x
of	x	x
the	x	x
journal	n	x
of	x	x
the	x	x
american	n	x
medical	n	x
association	n	x
.	x	x
<eos>	x	x
you	x	x
comment	n	d000.s001.t000
imply	v	d000.s001.t001
we	x	x
have	v	x
discover	v	d000.s001.t002
that	x	x
the	x	x
``	x	x
principal	a	x
cause	n	d000.s001.t003
``	x	x
of	x	x
homelessness	n	x
be	v	x
to	x	x
be	v	x
find	v	d000.s001.t004
in	x	x
the	x	x
large	a	x
number	n	x
of	x	x
mentally	r	x
ill	a	x
and	x	x
substance-abusing	a	x
people	n	x
in	x	x
the	x	x
homeless	a	x
population	n	x
.	x	x
<eos>	x	x
we	x	x
have	v	x
make	v	d000.s002.t000
no	x	x
such	a	x
statement	n	d000.s002.t001
.	x	x
<eos>	x	x
it	x	x
be	v	x
clear	a	x
that	x	x
most	r	x
mentally	r	x
ill	a	x
people	n	x
and	x	x
most	a	x
alcoholic	n	x
do	v	x
not	r	x
become	v	d000.s003.t000
homeless	a	x
.	x	x
<eos>	x	x
the	x	x
``	x	x
cause	n	d000.s004.t000
``	x	x
of	x	x
homelessness	n	x
be	v	x
poorly	r	x
understand	v	d000.s004.t001
and	x	x
complex	a	x
in	x	x
any	x	x
individual	a	x
case	n	x
.	x	x
<eos>	x	x
in	x	x
quote	v	d000.s005.t000
from	x	x
we	x	x
research	n	x
you	x	x
emphasize	v	d000.s005.t001
the	x	x
high	a	x
prevalance	n	x
of	x	x
mental	a	x
illness	n	x
and	x	x
alcoholism	n	x
.	x	x
<eos>	x	x
you	x	x
do	v	x
not	r	x
note	v	d000.s006.t000
that	x	x
the	x	x
homeless	a	x
people	n	d000.s006.t001
we	x	x
examine	v	d000.s006.t002
have	v	d000.s006.t003
a	x	x
multitude	n	d000.s006.t004
of	x	x
physical	a	x
disorder	n	x
in	x	x
addition	n	x
to	x	x
they	x	x
psychiatric	a	x
problem	n	x
and	x	x
substance	n	x
abuse	n	x
.	x	x
<eos>	x	x
they	x	x
suffer	v	d000.s007.t000
from	x	x
malnutrition	n	x
,	x	x
chest	n	x
disease	n	x
,	x	x
cardiovascular	a	x
disorder	n	x
,	x	x
skin	n	x
problem	n	x
,	x	x
infectious	a	x
disease	n	x
and	x	x
the	x	x
aftereffect	n	x
of	x	x
assault	n	x
and	x	x
rape	n	x
.	x	x
<eos>	x	x
homeless	a	x
people	n	d000.s008.t000
not	r	x
only	r	x
lack	v	d000.s008.t001
safety	n	x
,	x	x
privacy	n	x
and	x	x
shelter	n	d000.s008.t002
,	x	x
they	x	x
also	r	x
lack	v	d000.s008.t003
the	x	x
elementary	a	x
necessity	n	d000.s008.t004
of	x	x
nutrition	n	x
,	x	x
cleanliness	n	x
and	x	x
basic	a	x
health	n	x
care	n	x
.	x	x
<eos>	x	x
in	x	x
a	x	x
recent	a	x
report	n	x
,	x	x
the	x	x
institute	n	x
of	x	x
medicine	n	x
point_out	v	d000.s009.t000
that	x	x
certain	a	x
health	n	x
problem	n	d000.s009.t001
may	v	x
predispose	v	d000.s009.t002
a	x	x
person	n	d000.s009.t003
to	x	x
homelessness	n	x
,	x	x
other	n	x
may	v	x
be	v	x
a	x	x
consequence	n	x
of	x	x
it	x	x
,	x	x
and	x	x
a	x	x
third	a	x
category	n	d000.s009.t004
be	v	x
compose	v	d000.s009.t005
of	x	x
disorder	n	x
whose	x	x
treatment	n	x
be	v	x
difficult	a	x
or	x	x
impossible	a	x
if	x	x
a	x	x
person	n	x
lack	v	d000.s009.t006
adequate	a	x
shelter	n	d000.s009.t007
.	x	x
<eos>	x	x
the	x	x
interaction	n	d000.s010.t000
between	x	x
health	n	x
and	x	x
homelessness	n	x
be	v	x
complex	a	x
,	x	x
defy	v	d000.s010.t001
sweeping	a	x
generalization	n	d000.s010.t002
as	x	x
to	x	x
``	x	x
cause	v	x
``	x	x
or	x	x
``	x	x
effect	n	x
.	x	x
``	x	x
<eos>	x	x
if	x	x
we	x	x
look_to	v	d000.s011.t000
the	x	x
future	n	x
,	x	x
prevent	v	d000.s011.t001
homelessness	n	x
be	v	x
a	x	x
important	a	x
objective	n	x
.	x	x
<eos>	x	x
this	x	x
will	v	x
require	v	d000.s012.t000
we	x	x
to	x	x
develop	v	d000.s012.t001
a	x	x
much	r	x
more	r	x
sophisticated	a	x
understanding	n	d000.s012.t002
of	x	x
the	x	x
dynamics	n	x
of	x	x
homelessness	n	x
than	x	x
we	x	x
currently	r	x
possess	v	d000.s012.t003
,	x	x
a	x	x
understanding	n	x
that	x	x
can	v	x
be	v	x
develop	v	d000.s012.t004
only	r	x
through	x	x
careful	a	x
study	n	x
and	x	x
research	n	x
.	x	x
<eos>	x	x
william	n	x
r.	n	x
breakey	n	x
m.d.	n	x
