this	x	x
document	n	d000.s000.t000
be	v	x
a	x	x
summary	n	d000.s000.t001
of	x	x
the	x	x
european	a	d000.s000.t002
public	a	d000.s000.t003
assessment	n	d000.s000.t004
report	n	d000.s000.t005
(	x	x
epar	n	x
)	x	x
.	x	x
<eos>	x	x
it	x	x
explain	v	d000.s001.t000
how	r	x
the	x	x
committee	n	d000.s001.t001
for	x	x
medicinal	a	d000.s001.t002
product	n	d000.s001.t003
for	x	x
human	a	d000.s001.t004
use	n	d000.s001.t005
(	x	x
chmp	n	x
)	x	x
assess	v	d000.s001.t006
the	x	x
study	n	d000.s001.t007
perform	v	d000.s001.t008
,	x	x
to	x	x
reach	v	d000.s001.t009
they	x	x
recommendation	n	d000.s001.t010
on	x	x
how	r	x
to	x	x
use	v	d000.s001.t011
the	x	x
medicine	n	d000.s001.t012
.	x	x
<eos>	x	x
if	x	x
you	x	x
need	v	d000.s002.t000
more	a	d000.s002.t001
information	n	d000.s002.t002
about	x	x
you	x	x
medical	a	d000.s002.t003
condition	n	d000.s002.t004
or	x	x
you	x	x
treatment	n	d000.s002.t005
,	x	x
read	v	d000.s002.t006
the	x	x
package	n	d000.s002.t007
leaflet	n	d000.s002.t008
(	x	x
also	r	d000.s002.t009
part	n	d000.s002.t010
of	x	x
the	x	x
epar	n	x
)	x	x
or	x	x
contact	v	d000.s002.t011
you	x	x
doctor	n	d000.s002.t012
or	x	x
pharmacist	n	d000.s002.t013
.	x	x
<eos>	x	x
if	x	x
you	x	x
want	v	d000.s003.t000
more	a	d000.s003.t001
information	n	d000.s003.t002
on	x	x
the	x	x
basis	n	d000.s003.t003
of	x	x
the	x	x
chmp	n	x
recommendation	n	d000.s003.t004
,	x	x
read	v	d000.s003.t005
the	x	x
scientific	a	d000.s003.t006
discussion	n	d000.s003.t007
(	x	x
also	r	d000.s003.t008
part	n	d000.s003.t009
of	x	x
the	x	x
epar	n	x
)	x	x
.	x	x
<eos>	x	x
what	x	x
be	v	x
alimta	n	x
?	x	x
<eos>	x	x
alimta	n	x
be	v	x
a	x	x
powder	n	d000.s005.t000
that	x	x
be	v	x
make_up	v	d000.s005.t001
into	x	x
a	x	x
solution	n	d000.s005.t002
for	x	x
infusion	n	d000.s005.t003
(	x	x
drip	v	d000.s005.t004
into	x	x
a	x	x
vein	n	d000.s005.t005
)	x	x
.	x	x
<eos>	x	x
it	x	x
contain	v	d000.s006.t000
the	x	x
active	a	d000.s006.t001
substance	n	d000.s006.t002
pemetrex	v	x
.	x	x
<eos>	x	x
what	x	x
be	v	x
alimta	n	x
use	v	d000.s007.t000
for	x	x
?	x	x
<eos>	x	x
alimta	n	x
be	v	x
use	v	d000.s008.t000
to	x	x
treat	v	d000.s008.t001
two	x	x
type	n	d000.s008.t002
of	x	x
cancer	n	d000.s008.t003
:	x	x
pleural	a	d000.s008.t004
mesothelioma	n	d000.s008.t005
(	x	x
cancer	n	d000.s008.t006
of	x	x
the	x	x
lining	n	d000.s008.t007
of	x	x
the	x	x
lung	n	d000.s008.t008
that	x	x
be	v	x
usually	r	d000.s008.t009
cause	v	d000.s008.t010
by	x	x
exposure	n	d000.s008.t011
to	x	x
asbestos	n	d000.s008.t012
)	x	x
.	x	x
<eos>	x	x
alimta	n	x
be	v	x
use	v	d000.s009.t000
together_with	r	d000.s009.t001
cisplatin	x	x
(	x	x
another	x	x
anticancer	a	d000.s009.t002
medicine	n	d000.s009.t003
)	x	x
when	r	x
the	x	x
cancer	n	d000.s009.t004
be	v	x
unresectable	a	x
(	x	x
cannot	x	x
be	v	x
remove	v	d000.s009.t005
by	x	x
surgery	n	d000.s009.t006
alone	a	d000.s009.t007
)	x	x
and	x	x
malignant	a	d000.s009.t008
(	x	x
have	v	x
spread	v	d000.s009.t009
,	x	x
or	x	x
be	v	x
likely	a	d000.s009.t010
to	x	x
spread	v	d000.s009.t011
easily	r	d000.s009.t012
,	x	x
to	x	x
other	a	d000.s009.t013
part	n	d000.s009.t014
of	x	x
the	x	x
body	n	d000.s009.t015
)	x	x
,	x	x
in	x	x
patient	n	d000.s009.t016
who	x	x
have	v	x
not	r	d000.s009.t017
receive	v	d000.s009.t018
chemotherapy	n	d000.s009.t019
(	x	x
medicine	n	d000.s009.t020
for	x	x
cancer	n	d000.s009.t021
)	x	x
before	x	x
advanced	a	d000.s009.t022
or	x	x
metastatic	a	d000.s009.t023
non-small	a	x
cell	n	d000.s009.t024
lung_cancer	n	d000.s009.t025
that	x	x
be	v	x
not	r	d000.s009.t026
affect	v	d000.s009.t027
the	x	x
squamous_cell	n	d000.s009.t028
.	x	x
<eos>	x	x
alimta	n	x
be	v	x
use	v	d000.s010.t000
in	x	x
combination	n	d000.s010.t001
with	x	x
cisplatin	n	x
in	x	x
patient	n	d000.s010.t002
who	x	x
have	v	x
not	r	d000.s010.t003
be	v	x
treat	v	d000.s010.t004
before	r	x
,	x	x
and	x	x
on	x	x
its	x	x
own	a	x
in	x	x
patient	n	d000.s010.t005
who	x	x
have	v	x
receive	v	d000.s010.t006
another	x	x
type	n	d000.s010.t007
of	x	x
chemotherapy	n	d000.s010.t008
in	x	x
the	x	x
past	n	d000.s010.t009
.	x	x
<eos>	x	x
the	x	x
medicine	n	d000.s011.t000
can	v	x
only	r	d000.s011.t001
be	v	x
obtain	v	d000.s011.t002
with	x	x
a	x	x
prescription	n	d000.s011.t003
.	x	x
<eos>	x	x
how	r	x
be	v	x
alimta	n	x
use	v	d000.s012.t000
?	x	x
<eos>	x	x
alimta	n	x
should	v	x
only	r	d000.s013.t000
be	v	x
give	v	d000.s013.t001
under	x	x
the	x	x
supervision	n	d000.s013.t002
of	x	x
a	x	x
doctor	n	d000.s013.t003
who	x	x
be	v	x
qualify	v	x
in	x	x
the	x	x
use	n	d000.s013.t004
of	x	x
anticancer	a	d000.s013.t005
chemotherapy	n	d000.s013.t006
.	x	x
<eos>	x	x
the	x	x
recommend	v	x
dose	n	d000.s014.t000
of	x	x
alimta	n	x
be	v	x
500	x	x
mg	n	d000.s014.t001
per	x	x
square_metre	n	d000.s014.t002
of	x	x
body	n	d000.s014.t003
surface_area	n	d000.s014.t004
(	x	x
calculate	v	d000.s014.t005
use	v	d000.s014.t006
the	x	x
patient	n	d000.s014.t007
s	n	x
height	n	d000.s014.t008
and	x	x
weight	n	d000.s014.t009
)	x	x
.	x	x
<eos>	x	x
it	x	x
be	v	x
give	v	d000.s015.t000
once	r	d000.s015.t001
every	a	d000.s015.t002
three	x	x
week	n	d000.s015.t003
as	x	x
a	x	x
intravenous	a	d000.s015.t004
infusion	n	d000.s015.t005
last	v	d000.s015.t006
10	x	x
minute	n	d000.s015.t007
.	x	x
<eos>	x	x
to	x	x
reduce	v	d000.s016.t000
side_effect	n	d000.s016.t001
,	x	x
patient	n	d000.s016.t002
should	v	x
take	v	d000.s016.t003
a	x	x
corticosteroid	n	d000.s016.t004
and	x	x
folic_acid	n	d000.s016.t005
(	x	x
a	x	x
type	n	d000.s016.t006
of	x	x
vitamin	n	d000.s016.t007
)	x	x
,	x	x
and	x	x
receive	v	x
injection	n	d000.s016.t008
of	x	x
vitamin_b12	n	d000.s016.t009
during	x	x
treatment	n	d000.s016.t010
with	x	x
alimta	n	x
.	x	x
<eos>	x	x
when	r	x
alimta	n	x
be	v	x
give	v	d000.s017.t000
with	x	x
cisplatin	n	x
,	x	x
a	x	x
anti-emetic	a	x
medicine	n	d000.s017.t001
(	x	x
to	x	x
prevent	v	d000.s017.t002
vomit	v	d000.s017.t003
)	x	x
and	x	x
fluid	n	d000.s017.t004
(	x	x
to	x	x
prevent	v	d000.s017.t005
dehydration	n	d000.s017.t006
)	x	x
should	v	x
also	r	d000.s017.t007
be	v	x
give	v	d000.s017.t008
before	r	d000.s017.t009
or	x	x
after	r	d000.s017.t010
the	x	x
cisplatin	n	x
dose	n	d000.s017.t011
.	x	x
<eos>	x	x
treatment	n	d000.s018.t000
should	v	x
be	v	x
delay	v	d000.s018.t001
or	x	x
discontinue	v	d000.s018.t002
,	x	x
or	x	x
the	x	x
dose	n	d000.s018.t003
reduce	v	d000.s018.t004
,	x	x
in	x	x
patient	n	d000.s018.t005
whose	x	x
blood_count	n	d000.s018.t006
be	v	x
abnormal	a	d000.s018.t007
or	x	x
who	x	x
have	v	d000.s018.t008
certain	a	d000.s018.t009
other	a	d000.s018.t010
side_effect	n	d000.s018.t011
.	x	x
<eos>	x	x
alimta	n	x
be	v	x
not	r	d000.s019.t000
recommend	v	d000.s019.t001
for	x	x
use	n	d000.s019.t002
in	x	x
patient	n	d000.s019.t003
with	x	x
moderate	a	d000.s019.t004
or	x	x
severe	a	d000.s019.t005
